,pc,user,won
361,50,34,pc
362,49,50,user
363,50,25,pc
364,50,48,pc
365,50,42,pc
366,47,50,user
367,50,37,pc
368,50,46,pc
369,50,28,pc
370,50,33,pc
371,50,39,pc
372,50,30,pc
373,49,50,user
374,50,31,pc
375,50,31,pc
376,37,50,user
377,42,50,user
378,50,42,pc
379,50,44,pc
380,50,44,pc
381,50,35,pc
382,43,50,user
383,32,50,user
384,47,50,user
385,48,50,user
386,43,50,user
387,50,14,pc
388,50,44,pc
389,37,50,user
390,50,46,pc
391,50,39,pc
392,50,16,pc
393,50,20,pc
394,50,44,pc
395,45,50,user
396,50,37,pc
397,50,27,pc
398,49,50,user
399,50,40,pc
400,45,50,user
401,50,38,pc
402,50,37,pc
403,50,15,pc
404,48,50,user
405,50,33,pc
406,45,50,user
407,41,50,user
408,49,50,user
409,50,41,pc
410,40,50,user
411,50,34,pc
412,50,32,pc
413,44,50,user
414,40,50,user
415,46,50,user
416,50,34,pc
417,50,29,pc
418,50,44,pc
419,50,44,pc
420,36,50,user
421,50,47,pc
422,50,38,pc
423,44,50,user
424,47,50,user
425,50,31,pc
426,34,50,user
427,50,45,pc
428,50,29,pc
429,50,46,pc
430,50,43,pc
431,50,20,pc
432,47,50,user
433,50,37,pc
434,50,34,pc
435,50,7,pc
436,50,39,pc
437,50,30,pc
438,50,36,pc
439,50,24,pc
440,50,41,pc
441,50,48,pc
442,39,50,user
443,50,16,pc
444,41,50,user
445,40,50,user
446,50,22,pc
447,50,48,pc
448,50,25,pc
449,50,29,pc
450,50,43,pc
451,50,45,pc
452,50,37,pc
453,50,39,pc
454,50,39,pc
455,50,36,pc
456,50,38,pc
457,41,50,user
458,39,50,user
459,50,23,pc
460,50,25,pc
461,35,50,user
462,50,37,pc
463,50,42,pc
464,39,50,user
465,50,45,pc
466,50,29,pc
467,50,35,pc
468,50,33,pc
469,50,37,pc
470,50,33,pc
471,50,26,pc
472,50,28,pc
473,50,28,pc
474,50,23,pc
475,46,50,user
476,50,32,pc
477,49,50,user
478,50,27,pc
479,50,41,pc
480,50,16,pc
481,50,44,pc
482,50,24,pc
483,50,35,pc
484,50,42,pc
485,50,30,pc
486,50,22,pc
487,50,46,pc
488,50,35,pc
489,45,50,user
490,50,42,pc
491,50,47,pc
492,50,26,pc
493,50,38,pc
494,50,26,pc
495,50,35,pc
496,45,50,user
497,50,25,pc
498,50,45,pc
499,50,19,pc
500,50,22,pc
501,35,50,user
502,50,43,pc
503,41,50,user
504,39,50,user
505,45,50,user
506,48,50,user
507,50,30,pc
508,50,34,pc
509,50,46,pc
510,50,39,pc
511,50,42,pc
512,50,46,pc
513,50,28,pc
514,50,33,pc
515,50,26,pc
516,50,47,pc
517,46,50,user
518,38,50,user
519,50,43,pc
520,50,37,pc
521,50,36,pc
522,50,24,pc
523,50,47,pc
524,49,50,user
525,34,50,user
