acceptability_1;confidence_1;distress_1;acceptability_2;confidence_2;distress_2;acceptability_3;confidence_3;distress_3;acceptability_4;confidence_4;distress_4;acceptability_5;confidence_5;distress_5;acceptability_6;confidence_6;distress_6;acceptability_7;confidence_7;distress_7;scenarios_order;condition;1_oxford_1;1_oxford_2;1_oxford_3;1_oxford_4;1_oxford_5;1_oxford_6;1_oxford_7;1_oxford_8;1_oxford_9;oxford_order;age;gender;country;covid;openness;conscientiousness;extraversion;agreeableness;neuroticism;timestamp
27;72;100;100;100;30;70;66;100;68;62;100;100;100;0;-999;-999;-999;0;100;100;735421;1;2;5;7;7;5;1;3;1;5;934127586;23;1;11;-999;43;23;38;34;38;06/05/2020 21:48
100;100;100;100;100;0;100;100;0;0;100;0;100;0;100;-999;-999;-999;0;100;100;742513;1;7;4;4;7;7;1;5;1;7;415932786;60;2;11;3;46;37;28;34;19;06/05/2020 21:50
100;100;84;10;86;46;100;100;86;100;100;100;0;100;15;-999;-999;-999;66;50;99;742315;1;3;4;2;5;7;3;6;1;2;574261938;54;2;11;-999;27;25;16;26;28;06/05/2020 21:54
17;31;23;9;76;15;75;85;69;79;74;100;10;81;65;84;0;100;-999;-999;-999;652314;2;5;5;4;5;2;1;1;6;5;145982736;23;2;11;-999;30;34;23;33;20;06/05/2020 21:56
64;26;89;57;30;28;65;29;43;78;59;62;25;74;33;-999;-999;-999;61;27;86;741523;1;2;5;3;3;2;4;4;6;5;546392178;22;2;11;-999;27;33;28;30;26;06/05/2020 21:59
10;99;45;17;54;54;100;86;61;35;26;100;18;40;55;34;25;92;-999;-999;-999;315426;4;2;2;5;1;2;1;2;1;1;863142759;42;2;11;-999;42;33;29;29;16;06/05/2020 22:02
58;9;100;22;25;80;27;75;83;100;100;24;68;67;29;-999;-999;-999;76;27;100;723415;1;5;2;1;2;1;4;2;5;3;127583649;23;1;11;-999;28;35;36;38;35;06/05/2020 22:08
31;45;100;0;100;1;24;28;80;2;100;3;100;100;0;100;100;68;-999;-999;-999;625134;2;3;3;7;3;1;2;1;2;5;397416582;23;1;11;3;26;36;23;39;14;06/05/2020 22:09
71;22;75;72;33;98;69;44;74;69;34;100;25;25;63;-999;-999;-999;62;22;100;235417;3;3;2;3;5;6;5;3;1;3;437561289;30;1;11;3;17;37;25;36;13;06/05/2020 22:10
20;73;100;0;100;0;73;74;100;0;90;76;0;100;100;-999;-999;-999;0;100;100;354217;3;6;7;2;5;6;3;5;7;4;591436782;17;2;11;-999;33;34;32;35;26;06/05/2020 22:14
