,x,y
0,0,503
1,5,237
2,10,492
3,15,683
4,20,889
5,25,691
6,30,561
7,35,410
8,40,244
9,45,184
10,50,163
11,55,309
12,60,456
13,65,562
14,70,806
15,75,805
16,80,635
17,85,433
18,90,277
19,95,3880
