,x,y
0,0,736
1,5,305
2,10,523
3,15,709
4,20,991
5,25,772
6,30,572
7,35,384
8,40,263
9,45,399
10,50,352
11,55,474
12,60,615
13,65,751
14,70,888
15,75,750
16,80,501
17,85,261
18,90,141
19,95,1953
