,acceptability_4
0,1620
1,136
2,96
3,68
4,39
5,43
6,30
7,26
8,33
9,33
10,40
11,55
12,54
13,57
14,78
15,66
16,70
17,87
18,67
19,94
20,101
21,109
22,99
23,105
24,121
25,111
26,95
27,108
28,101
29,83
30,69
31,78
32,81
33,80
34,86
35,79
36,74
37,62
38,71
39,72
40,52
41,52
42,40
43,40
44,39
45,31
46,37
47,56
48,48
49,64
50,102
51,54
52,51
53,57
54,58
55,63
56,71
57,72
58,108
59,91
60,107
61,125
62,117
63,124
64,122
65,129
66,136
67,138
68,131
69,176
70,161
71,154
72,188
73,180
74,204
75,212
76,225
77,194
78,192
79,150
80,164
81,163
82,144
83,152
84,116
85,129
86,126
87,105
88,83
89,78
90,75
91,69
92,56
93,50
94,48
95,59
96,77
97,78
98,138
99,241
100,4341
