,acceptability_3
0,1040
1,90
2,50
3,46
4,25
5,13
6,13
7,19
8,22
9,22
10,27
11,32
12,29
13,47
14,47
15,45
16,47
17,70
18,64
19,89
20,64
21,94
22,101
23,106
24,118
25,101
26,83
27,102
28,83
29,90
30,84
31,80
32,81
33,75
34,72
35,90
36,66
37,49
38,62
39,62
40,63
41,49
42,31
43,24
44,29
45,25
46,20
47,25
48,35
49,41
50,68
51,44
52,20
53,36
54,44
55,44
56,69
57,67
58,79
59,81
60,105
61,94
62,105
63,112
64,103
65,140
66,139
67,150
68,161
69,185
70,156
71,190
72,215
73,212
74,192
75,269
76,232
77,253
78,211
79,231
80,176
81,187
82,194
83,198
84,158
85,161
86,146
87,133
88,123
89,133
90,103
91,107
92,76
93,82
94,70
95,69
96,87
97,119
98,179
99,267
100,4803
