,acceptability_2
0,2200
1,187
2,125
3,84
4,63
5,44
6,43
7,54
8,42
9,45
10,53
11,76
12,86
13,99
14,109
15,122
16,111
17,153
18,138
19,142
20,139
21,169
22,205
23,182
24,171
25,162
26,162
27,156
28,136
29,120
30,117
31,125
32,109
33,120
34,90
35,117
36,103
37,85
38,76
39,75
40,71
41,68
42,56
43,51
44,40
45,29
46,24
47,19
48,19
49,50
50,72
51,49
52,32
53,20
54,26
55,36
56,49
57,48
58,62
59,72
60,78
61,95
62,72
63,108
64,76
65,105
66,100
67,103
68,105
69,123
70,131
71,144
72,142
73,158
74,158
75,204
76,186
77,180
78,175
79,137
80,127
81,135
82,126
83,151
84,107
85,116
86,102
87,110
88,75
89,81
90,65
91,66
92,60
93,41
94,47
95,63
96,55
97,79
98,111
99,199
100,3436
