,x,y
0,0,224
1,5,103
2,10,200
3,15,334
4,20,520
5,25,442
6,30,398
7,35,302
8,40,158
9,45,189
10,50,188
11,55,401
12,60,554
13,65,791
14,70,1078
15,75,1103
16,80,898
17,85,638
18,90,404
19,95,5455
