,x,y
0,0,4299
1,5,398
2,10,548
3,15,805
4,20,897
5,25,651
6,30,514
7,35,438
8,40,234
9,45,202
10,50,130
11,55,235
12,60,390
13,65,422
14,70,571
15,75,577
16,80,461
17,85,348
18,90,176
19,95,3124
