,0,1,2,3,4,5,6,7
0,82.33,82.1,86.08,88.36,86.84,91.04,93.71,95.13
1,84.77,88.55,92.08,92.64,92.3,93.94,93.79,92.02
2,86.16,86.93,92.47,91.44,90.35,93.78,95.15,94.72
3,87.17,88.75,89.87,90.59,91.75,93.18,94.59,93.37
4,79.55,86.88,89.68,91.0,92.32,92.67,94.19,93.93
5,82.6,85.18,85.1,87.29,91.48,93.16,93.87,92.29
6,90.22,85.42,86.23,88.41,88.25,89.85,92.83,93.87
7,73.5,81.08,80.49,82.35,88.72,88.55,92.34,93.17
