,0,1,2,3,4,5,6,7
0,51.09,67.48,43.77,59.85,60.61,48.21,63.28,67.48
1,64.71,54.78,62.08,58.82,59.83,58.96,58.94,72.06
2,58.09,63.73,62.48,63.25,68.47,63.96,67.35,69.97
3,70.59,65.29,66.62,68.91,74.4,70.24,71.49,72.44
4,65.36,69.13,69.23,69.75,74.64,74.98,74.75,84.55
5,69.83,71.14,75.27,74.63,78.9,75.02,77.84,85.11
6,85.29,82.39,77.45,80.97,78.29,79.29,86.19,81.61
7,79.55,87.49,87.57,82.37,84.5,87.53,84.61,86.48
